0,1
全面推开营改增试点后,"After launching the pilots to replace the business tax with a value-added tax,"
在学懂弄通做实上下功夫,Make great efforts on learning and mastering.
“火炬”摩天大厦管理层在其 2015 年发生的火灾后进行的一项调查发现，被损坏的大部分物体的是装饰和绝缘用的覆层外墙板。,"An investigation by the management of the Torch after its 2015 fire found that most of the damage was to the cladding, exterior panelling used for decoration or insulation."
分别举行会谈会见,separately.
政党在国家政治生活中发挥着重要作用，也是推动人类文明进步的重要力量。,Political parties play an important role in the political life of countries and are also an important force in promoting the progress of human civilization.
2018年是中国实施改革开放的第四十个年头。,The year 2018 is the 40th year for China to implement reform and opening up.
"根据金融技术分析网站 Let's Talk Payments 的数据，到 2020 年，全球治理、监管和合规行业的价值可能会超过 1,187 亿美元。","The global governance, regulation and compliance industry could be worth more than $118.7 billion by 2020, according to finance tech insights website Let's Talk Payments."
并代表中共中央致贺词,and delivered a congratulatory speech on behalf of the CPC Central Committee.
陈歆磊、杨凯涵：亚马逊在挤进全球十大零售商时候宣布进军书店和杂货铺，不论时机还是动机都很值得玩味。,"Chen Xinlei, Yang Kaihan: When Amazon made it to the world’s top 10 list of retailers, it announced that it would venture into the bookstores and grocery stores; this is worth pondering, both in terms of opportunity and motive."
当被问及这一切特殊的时机，希瑟杜威·哈博格说，“任何事情的发生都有原因”。,"When asked about the peculiar timing of it all, Dewey-Hagborg said that ""things happen for a reason."""
为优化景区环境，建设美丽南岳，近日，南岳区烟草专局(分公司)“636”志愿服务大队开展了“登山护林、爱护家园”环保活动。,"For the purposes of optimizing the environment of scenic areas, and building a beautify Nanyue, the “636” voluntary service team of the Nanyue District Tobacco Monopoly Administration (Branch Company) carried out a “hiking to protect our forests and love our hometown” environmental protection event."
在国羽出战总决赛的历史上，还从未有一人同时拿下双打两冠。,"In the history of Chinese badminton team playing in the finals, no one has ever won the champions of two pair games at the same time."
冰岛三文鱼进口关税由10%到12%降为零关税；,"salmon from Iceland, from 10- 12%; and"
截至目前，通过这种方式，萧山区共收集问题五千九百八十五个，其中解决问题三千八百六十八个，正在办理的问题有一千四百九十六个。,"Up to now, in this way, Xiaoshan District collected a total of 5,985 issues, of which 3,868 were solved and 1,496 were in the process of being handled."
生鲜超市争夺战升级，已经成为新零售领域的现象级话题，新零售到底新在哪？,"The fresh food supermarket war has escalated, and have become a phenomenal topic in the new retail sector. Just what is new in new retail?"
当地网友发布的视频显示，爆炸现场浓烟滚滚，并伴有响声。,"The videos released by local netizens showed that thick smoke was billowing at the scene of the explosion, accompanied by noise."
巴金表示，泰方珍视泰中友好，愿同中方对接发展战略。,Prajin said that Thailand cherishes the friendship between Thailand and China and is ready to make a joint development strategy with China.
增设和恢复口岸进境免税店，合理扩大免税品种，增加一定数量的免税购物额，方便国内消费者在境内购买国外产品；,"More port of entry duty-free shops will be set up and restored, and the variety of duty-free goods will be expanded appropriately, with the value of duty-free shopping increased by a certain amount so that domestic consumers would find it convenient to purchase foreign products in China."
他希望大幅提高非能源领域收入在俄经济中的比重，以减小石油市场波动对俄经济的影响。,He hopes to substantially increase the share of non-energy income in the Russian economy to reduce the impact of fluctuations in the oil market on the economy of Russia.
巴布亚人很少有资金或必需的技能经营有竞争性的公司。,Papuans rarely have the capital or the necessary skills to run their own businesses competitively.
未来中企有望在铁路、轻轨、港口、航空等建设项目上与以色列开展更加广泛的合作。,"In the future, Chinese enterprises hope to carry out even more extensive cooperation with Israel in terms of railway, light rail, ports, aviation and other construction projects."
此外国际媒体报道的限制依然很紧。,"In addition, reporting restrictions for international media remain tight."
英国总工会 (GMB) 关注针对麦维他公司 (McVitie) 格拉斯哥工厂的投资,GMB concern over investment at McVitie's Glasgow factory
它所承载的首创精神,The pioneering spirit
每年数千宗犯罪案件中大部分都涉及贩毒与组织犯罪，所以很少能将杀害记者的凶手绳之以法。,"As with most of the thousands of murders tied to drug trafficking and organized crime each year, the killers of journalists are rarely brought to justice."
暂行条例的决定， 自公布之日起施行。,The decisions on the Provisional Regulations will be implemented from the date of its promulgation.
这项报告的访问对象为9个国家的“千禧一代”年轻人（出生在1980年至2000年间）。,The investigation was targeted at young people in the millennial generation (born between 1980 and 2000) in nine countries.
浙江吉利控股集团27日宣布与欧洲基金公司Cevian Capital达成一致，将收购其持有的沃尔沃集团（AB Volvo）8847万股的A股股票和7877万股的B股股票。,"On the 27th, Zhejiang Geely Holding Group announced that it has reached an agreement with European fund company Cevian Capital to acquire 82.47 million A shares and 78.77 million B shares of AB Volvo from Cevian Capital."
随着线上消费习惯的养成以及客户体验的不断提高，电商又将触角伸到了其他品类，并开始提升效率。,"As online retail habits formed, and customer experience continued to rise, e-commerce firms further extended their scope to other product categories, and began to increase efficiency."
普拉迪斯公司的发言人表示：“托尔克罗斯 (Tollcross) 的厂长昨日刚收到英国总工会苏格兰分会的来信，该公司将会立即进行回复，因为我们重视与雇员和工会代表保持持续接触。,"A spokeswoman for Pladis said: ""The site manager at Tollcross received a letter from GMB Scotland only yesterday and the company will be responding directly as we value ongoing engagement with employees and union representatives."
应该是扎根与基层，深入生活，然后作出有一定文化厚度的，积极向上的，同时有恒久的艺术魅力的作品。,"It should be rooted at grassroots and in-depth lives, with a certain substance of culture that is positive, with long-lasting artistic works that hold charm."
她说：“没人敢在下午 5 点以后在村里走动。”,"""No one dares to walk around the village after 5 p.m.,"" she says."
直升机部队当天也额外飞行了 11 个小时的“非总统支援任务”。,"Unit helicopters also flew an additional 11 hours that day for ""non-presidential support missions."""
实现中华民族伟大复兴的中国梦、实现人民对美好生活的向往继续奋斗，具有重大现实意义和深远历史意义。,To make continued efforts in realizing the Chinese Dream of the rejuvenation of the Chinese nation and achieving the people's aspiration for a better life is of great importance both in reality and in history.
曼宁还没有亲自看过这个展览，正如漫画中那么预见的那样，但是当她这样做的时候，她将由她自己的 DNA 肖像面具，就像一群抗议者在展馆中心获得欢呼。,"Manning hasn't seen the exhibition in-person yet - as was so presciently imagined in the comic book - but when she does, she'll be greeted in the center of the room by the masks, her own genomic simulacra congregated like hordes of protesters."
展开地面进攻，阿布卡迈勒是极端组织在叙利亚的最后一个主要据点,which is the last major base of extremist organizations in Syria.
打造冰上丝绸之路,"and Polar Silk Road,"
应对气候变化，没有一个国家可以置身事外。,"In response to climate change, no country can stay out of the question."
要深入推进反腐败斗争，下大气力拔“烂树”、治“病树”、正“歪树”，使领导干部受到警醒、警示、警戒。,"We should push forward the anti-corruption campaign in an in-depth manner and make great efforts to uproot “rotten trees”, fix “sick trees” and make “crooked trees” become upright in order to alert, warn and caution leading cadres."
然后每个人（至少所有的黑人演员）爆发出了笑声。,And then everyone (at least all the black actors) bursts into laughter.
面包根本就遥不可及。,Bread is just as out of reach.
据了解，在从成都客场回到北京后，莫里斯继续前往医院进行了针灸治疗，以保证伤情不会继续恶化。,"It is learned that Morris will head for hospital to accept acupunture therapy after arriving at Beijing from Chengdu, so as to prevent the injury from continuous deterioration."
“从2018年开始，盒马不单单是一家生鲜电商，而是满足消费者即时服务的生活品类电商。,"“With effect from 2018, Hema will not merely be a fresh produce e-commerce firm; rather, we will be a general household goods and grocery e-commerce firm that meets consumers’ requirement for prompt delivery service."
走进森林摩尔，就像一不小心掉进了爱丽丝漫游奇遇记中的兔子洞，攀沿着的树干将建筑围绕，草地、清泉相映衬，将人们带进充满生机与活力的森林。,"On entering the Forest Mall, you’d feel like you have accidentally fallen down the rabbit hole in Alice’s Adventures In Wonderland. The tall tree trunks surround the buildings, and the lawn and stream are beautifully juxtaposed, drawing the masses into a forest full of life and vitality."
市场人士指出，近段时间，欧洲央行货币政策收紧预期推升欧元汇率，美元指数连续下滑，人民币对美元汇率相应出现一波快速拉升行情，不过目前看，欧洲央行不太可能很快调整政策立场，外汇市场短期波动后终究要向基本面回归，人民币汇率继续平稳运行是大概率事件。,"Some market observers have point out that the expected tightening of ECB’s monetary policy pushes up the exchange rate of the Euro in recent days. As a result, the US dollar index declines continuously, and the RMB exchange rate against the US dollar has seen a surge in prices. However, the European Central Bank is unlikely to adjust the policy stance soon. After the short-term fluctuation of the foreign exchange market, the exchange rates will eventually return to a level dictated by the fundamentals, and the continued smooth operation of the RMB exchange rate is a high probability event."
据英国广播公司网站1月16日报道，德国侨民克莱门斯·塞希说：“如果我能在那儿成功，我以后在任何地方都能成功。”他引用的是歌手弗兰克·西纳特拉歌颂纽约市的歌词。,"According to a report on the BBC website on January 16, the German expatriate Clemens Sage said: 'If I can succeed there, I can succeed anywhere.' He quoted a song written by singer Frank Sinatra to praise New York City."
张勇表示，面对脱贫攻坚的国家战略，阿里一直在思考如何用好阿里经济体的科技、大数据、云计算等创新能力，为脱贫走出一条新路来。,"Daniel Zhang said that confronted with the national strategy to combat poverty, Alibaba has been thinking about how it could effectively use the technology, big data, cloud computing and other innovative competencies within the Alibaba economy to help develop a new path for poverty eradication."
很显然，看到其中名气最大的球员离开，西班牙联盟深感愤怒，试图阻碍内马尔的该举动，并声称巴黎圣日尔曼足球俱乐部违反《规则》。,"Clearly irritated to see one of soccer's biggest players leaving, the Spanish league tried to stymie Neymar's move, claiming that PSG will be breaching FFP."
另外，今天还将出让白云区同和东坑蟾蜍石北路一幅二类居住用地（R2），用地面积32891平方米（可建设用地30965平方米），建筑面积92895平方米，挂牌起始价61311万元，折合楼面地价6600元/平方米。,"Elsewhere, a Class 2 land parcel for residential use (R2) at Chan Chu Shi North Road, Tonghe Dongkeng, Baiyun District, was also offered for sale today, with site area of 32,891 m2 (land available for construction: 30,965 m2), and gross floor area of 92,895 m2. The listed starting price was RMB613.11 million, equivalent to RMB6,600 per m2 per plot ratio."
巴布亚与世隔绝。,Isolation keeps the world's eyes off Papua.
十二届全国人大常委会第三十次会议举行第三次全体会议。,The 12th National People’s Congress held the third plenary session of the 30th meeting.
资本的争相入局，让目前以生鲜超市为代表的新零售火药味十足。,"Capital, competing for a slice of the pie, has made the retail market, represented by fresh food supermarkets, a powder keg."
运动员们将会看到这个球场的最佳面貌和最佳状态。,"""The players will see this course at its finest, it is in fabulous condition."
中方愿同柬方一道，积极拓展两国战略合作，发挥两党交往对两国关系的政治引领作用。,"China is ready to work with Cambodia to actively expand strategic cooperation between the two countries and fully utilize the politically leading role of exchange between the two parties in relations between the two countries,"
确立的强国强军目标，不断地提高自身能力素质和打赢本领，担当起党和人民赋予的新时代使命任务,"and guide them to constantly improve their capabilities and fighting abilities towards the goal of building a powerful nation and military established in the 19th CPC National Congress, and shoulder the great missions of the new era entrusted by the party and the people."
蒙古、藏、维吾尔、哈萨克、朝鲜、彝、壮等七种少数民族文字版，已由中国民族语文翻译局翻译,"This report has been translated into seven ethic minority languages including the Mongolian, Tibetan, Uygur, Kazak, Korean, and Zhuang by the China Ethnic Languages Translation Bureau."
对法案全部投反对票是错误行为,to vote against the bill.
中国自驾车旅游2020年市场规模或突破万亿元,Size of China’s self drive tourism market may exceed RMB1 trillion by 2020
在当今世界充满不确定性和不稳定性情况下，智方愿同中方加强协调与合作，共同坚持多边主义和自由贸易，共同应对恐怖主义、气候变化等全球性挑战。,"Despite uncertainties and instability in the world today, Chile has expressed willingness to strengthen coordination and cooperation with China, to jointly adhere to multilateralism and free trade, and to jointly deal with terrorism, climate change and other global challenges."
进入新时代，创新驱动发展给上海带来的强劲动力正在显现。,"Entering into a new era, the strong driving force brought by innovation-driven development to Shanghai is emerging."
现如今的巴西，凭借丰富的盐下石油储量引起了国际石油界的关注。,Brazil has now attracted the attention of the international oil industry on the back of rich pre-salt oil deposits.
暴力从不停歇，全国尸横遍野，其中有越来越多记者：根据保护记者委员会的记录，自总统恩里克·培尼亚·涅托于 2012 年 12 月上位以来，已经至少有 25 名记者死亡；589 名记者在遭到袭击与威胁后受联邦保护；今年目前为止，有至少 7 名记者在 7 个州内死去。,"There is no respite from the violence, and as bodies pile up across the country, more and more of them are journalists: at least 25 since President Enrique Pena Nieto took office in December 2012, according to the Committee to Protect Journalists; 589 under federal protection after attacks and threats; and so far this year, at least seven dead in seven states."
她发现馈送信息上没有其他人发布这条信息，她感到很困惑。她关了脸谱网，打开推特。,"Confused, noticing no one else on her feed had posted the information, she closed Facebook and opened Twitter."
中国的这两部作品击败了来自32个国家的600部图书，成功入围了在德国莱比锡评选出的14部获奖图书之列。,"These 2 Chinese books defeated the other 600 ones from 32 countries and successfully entered the list of 14 award-winning books selected in Leipzig, Germany."
警方称村民向警察扔石头，所以警察开枪警告。,"Police said the villagers threw rocks at officers, who responded by firing warning shots."
通过举办媒体交流年，双方增进了理解，加深了友谊，促进了媒体间学习互鉴,"Thanks to the media exchange year, mutual understanding and friendship between the two countries have been deepened, and mutual learning between the medias have been enhanced,"
有时他们会被捕，据说在 2015 年摄影师鲁本·埃斯皮诺萨在逃离韦拉克鲁斯三个月后在一个墨西哥城市和四名女性一道被杀。,"And sometimes, they are hunted down, as apparently was photographer Ruben Espinosa, who was murdered in 2015 along with four women in a Mexico City apartment three months after fleeing Veracruz."
美国修改绿卡规定,Washington Changes the Green Card Rules
“如果你不致力于创造透明文化，你会失去人才，”维特拉诺说道。,"""If you're not committed to creating a culture of transparency, you're going to lose people,"" Vitrano said."
最终，这幅画以4.503亿美元的价格成交，约合29.86亿元人民币，创下艺术品拍卖的“最昂贵”纪录。,"In the end, the painting was sold for US$450.3 million, which was equivalent to approximately RMB2.986 billion, setting a record for the ""most expensive"" auction for art."
对比知名的自驾游路线“美国66公路”，建设经验值得借鉴。,"These could draw lessons from the building experience of the renowned self drive route of “US Route 66”,"
今天，民政部在京发放全国首张,"Today, the Ministry of Civil Affairs issued the first"
“领导层中的黑人酷儿女性总体上支撑了这一运动，”费雷尔说，“那是因为我们在多个战线上不断战斗。,"""Black queer women in leadership has sustained the movement overall,"" said Ferrell, ""and that's because we're constantly at battle on multiple fronts."
折叠式厨房并不新鲜。,Foldaway kitchens are nothing new.
2016年9月交货的伦敦布伦特原油期货价格上涨2.22美元，收于每桶48.47美元，涨幅为4.80%。,"Meanwhile, the price of London Brent crude futures for September 2016 ended the day up US$2.22 or 4.80% at US$48.47 pbl."
两国对接发展战略、深化全方位合作面临更广阔前景，也将为两国、地区乃至世界的和平与发展贡献更多积极力量。,"Their efforts to dock development strategies and deepen all-round cooperation will embrace a broader prospect, and also contribute more to the peace and development of the two countries, the whole region and even the world."
新华社记者陈晔华摄国际在线报道：3月15日上午9时，第十二届全国人民代表大会第五次会议在人民大会堂举行闭幕会。,Xinhua News Agency/Chen Yehua/CRI Online: The Fifth Session of the 12th National People's Congress held its closing ceremony at the Great Hall of the People at 9am on March 15.
建立求同存异、相互尊重、互学互鉴的新型政党关系。,"that seek common ground while reserving differences, respect one another, and learn from each other's experiences on the basis of a new type of international relations."
正不断丰富人民对美好生活的向往和需求,and they are constantly enriching people's desire and demand for a better life.
近日，中央电视台和国际足联共同宣布，中央电视台获得二零一八至二零二二年国际足联各项赛事,"Recently, CCTV and FIFA jointly announced that CCTV has obtained"
山西省近期公布的煤炭去产能实施细则中提出将山西焦煤集团改组为国有资本投资公司，对企业的资产和业务进行重组整合，构建全新的商业模式。,"In the detailed implementation rules for reducing surplus coal capacity issued recently by Shanxi Province, it was proposed that Shanxi Coking Coal Group should be restructured and transformed into a state-owned capital investment company, its assets and businesses should be reorganized and consolidated, and a new business model constructed."
由于风向改变，阿贡火山喷出的火山灰 开始向南扩散,"Thanks to changing wind direction, volcanic ash from the Agung volcano began to spread southward,"
获取更多新闻资讯您还可以关注央视新闻移动网，下载地址可搜索央视新闻加。,"For more news updates, you may also refer to the CCTV news mobile website. Search CCTV for the address to download the mobile app."
习近平表示，今年十月召开的中共十九大对中国具有重大战略意义。,Xi Jinping said that the 19th National Congress held in October this year is of great strategic significance to China.
车上载有四名黑人乘客和一名白人司机，在车抵达这座桥之前，一群带枪的白人走向前，堵住了汽车前进的路。,"Before the car, which had four black passengers and a white driver, could reach the bridge, a group of white men with guns stepped forward to block its path."
被指未能准确评估部分声称未成年的难民的年龄后，瑞典移民局 (Migrationsverket) 设计了这些测试，以期在避难过程中进行更准确的年龄评估。,They are designed to make age assessment during the asylum process more accurate after the Swedish Migration Agency (Migrationsverket) was criticized for failings in assessing the correct age of some refugees claiming to be underage.
“虽然她在前线，但这并不是巧合。因为在这些十字路口的生活中，作为一个黑人酷儿女性，你有很多事情要做。,"""It's not a coincidence though she was on the front lines, because living life at those intersections as a black queer woman, you have so much on the line."
他们会设法增加占地空间，同时使用优质材料，从而为这个空间带来了奢华的感觉。,Here they have managed to increase the floor space while using quality materials that give the space its luxurious edge.
对于工业经济效益不高，专家说，也要积极推动产业兼并重组、优化产业布局、延伸产业链。,"As for low industrial economic benefit, experts said that industry merger and reorganization should be actively advanced, industry structure optimized, and the industry chain extended."
英国艾滋病信托基金 (NAT) 首席执行官狄波拉?金表示：“这是抗击艾滋病的关键时刻。,"Deborah Gold, chief executive at NAT (National Aids Trust), said: 'This is a pivotal moment in the fight against HIV."
在浙江，像安昌古镇这样风情独特的小镇星罗棋布：嘉兴西塘的潋滟波光，流淌着江南水乡的温情婉约；衢州廿八都的白墙黛瓦，诉说着千年古镇的岁月沧桑；台州石塘镇的渔民画，勾勒出既传统又富有现代气息的渔家生活……这些的小镇是浙江旅游的“掌上宝”，亦是八方游客的“心头爱”。,"In Zhejiang, a town with a unique style such as Anchang Ancient Town is scattered all over like stars. The glittering waves of Jiaxing Xitang is flowing with the warmth and gratefulness of the lower reaches of the Yangze River in the south; the white walls of Quzhou's Nianbadu Ancient Town convey to us the changes over time in the town; and the murals of fishermen in Shitang, Taizhou draw a picture of their life, both traditional and modern. These towns are the ""palm treasure"" of Zhejiang tourism and also the favorites of tourists from all regions."
央视网消息：记者11日从中国环境监测总站了解到，目前我国已经设置国家、省、市、县四个层级的5000余个监测站点，环境空气质量监测网已经建成。,"cctv.com news: On the 11th, reporters learned from the China National Environmental Monitoring Centre that to date, China has already set up more than 5,000 national, provincial, municipal and county level monitoring stations and points; the ambient air quality monitoring network is completed."
瑞典避难者测试采用最新方法，从医学上评估他们的年龄，最新结果表明，超过 80% 的受试者被判定为超过 18 岁，但并非所有人都相信其准确性。,"The latest results of tests on asylum seekers in Sweden subjected to a new method of medically assessing their age show that over 80 percent tested were judged to be older than 18, but not everyone has faith in their accuracy."
据了解，100亿立方米的页岩气田相当于一个1000万吨级的大油田。,It is understood that a 10 billion cubic meter shale gas field is equivalent to a 10 million tonne oil field.
对网络空间发展治理规律的准确把握，对中国同世界各国携手发展互联网和数字经济的真诚愿望。,"as well as an accurate grasp of the laws governing the development of cyberspace, and the sincere desire for China to join hands with the rest of the world in developing the Internet and the digital economy."
而新能源的大规模开发利用，还有系统安全性问题、远距离输送问题、技术经济性问题等许多难题和挑战需要面对和解决。,"However, large-scale development and use of renewable energy continued to be assailed by system security, long-distance delivery, technology economic and other issues and challenges that need to be confronted and resolved."
作为今后旅游业增长的主战场，旅游风情小镇不仅可能改变乡村生态面貌、经济社会发展方式、产业要素流动方向，更是消弭城乡基建鸿沟、唤醒乡村文化复苏的重要力量。,"As the main battlefield for tourism growth in the future, tourism style towns will change the rural ecological landscape, economic and social development patterns, and the flow direction of industrial factors. Additionally, they will play an important role in eliminating the urban-rural infrastructure gap, hastening rural cultural recovery."
隔夜市场，美元回暖，美元指数走出V字形态，截至北京时间07：30报90.8900。,"In the overnight market, the US dollar experienced a V-shaped rebounded, ending at 90.8900 as of 07:30, Beijing time."
12月20日，中兴智能汽车相关人士对澎湃新闻（www.thepaper.cn）记者表示，中兴通讯收购了珠海广通客车70%的股份，并在此基础上组建了中兴通讯的智能汽车团队，“金额不方便透露，达到数亿元。我们正在招揽人才，未来智能汽车将是中兴通讯一个很重要的业务。,"On December 20, relevant personnel from ZTE Smart Auto told Bloomberg (www.thepaper.cn) reporters that ZTE has acquired a 70% equity stake in Granton Automobile, and will set up ZTE’s smart auto group on this foundation. “We are not at liberty to disclose the monetary sum, but it amounted to several hundred million. We are in the process of recruiting talent. In the future, smart autos will be a very important business for ZTE."
几个小时后，附近政府机构选举委员会大楼燃起熊熊大火，第二天事件升级。,"A couple of hours later, the nearby government Election Commission building was set ablaze, and things escalated the following day."
2016年，eMarketer跟踪了180家最大的电商之后估计，电商总销售额约为2000亿美元，而其中最大的25家占到了1590多亿美元。,"In 2016, eMarketer, after tracking 180 of the largest e-commerce firms, estimated that total sales of e-commerce firms amounted to approximately US$200 billion, of which the largest 25 accounted for more than US$159 billion;"
（马卡洛夫）,(Makalov)
她偶然发现一位高中生的帖子。,She stumbled upon a post from someone from high school.
夏基在新报告发布时说道：“人们在背后讥笑，但各大公司确实推出了很多性爱机器人，而我们也会看到更多。”,"""People snigger about them, but the companies are actually shipping quite a lot and we are going to see them a lot more,"" Mr Sharkey said at the launch of the new report."
1499元的指导价较此前1299元的零售价上涨了200元。,"The guidance price of RMB1,499 was RMB200 higher than the previous retail price of RMB1,299."
照顾彼此核心利益和重大关切，落实好两国领导人重要共识。,and take care of each other's core interests and major concerns and implement the important consensus reached by leaders of the two countries.
因此在满足消费者吃喝玩乐购一站式物质需求的同时，最大化的传递文化艺术多层次的精神需求，发挥宜居的居住需求，必然是商圈未来发展的制高点。,"Therefore, in addition to meeting the one-stop material needs of dining and entertainment of consumers, maximizing the transmission of multi-tiered cultural and artistic spiritual needs, as well as bringing the livable qualities of residential needs into play will inevitably become the high point of future business district development."
其中新华社通讯，弄潮儿向涛头立习近平主席出席二十国集团领导人杭州峰会系列活动纪实 。,Xinhua Insight: Documentary of President Xi Jinping’s Attendance at the G20 Summit in Hangzhou”.
对智齿进行 X 射线检查，对关节进行核磁共振扫描，然后由牙科医生和放射科医生分析结果，这种医疗评估方式也在部分地区受到质疑。,"The method of medical age assessment, which consists of taking X-rays of wisdom teeth and MRI scans of knee joints, then having dentists and radiologists analyse them, has also been criticised in some quarters."
代表各民主党派中央和全国工商联致贺词,delivered a congratulatory message on behalf of the Central Committees for All Parties in the Democratic Party and the All-China Federation of Industry and Commerce.
上午九时三十分时，习近平一身戎装来到军委联指中心大楼。,"At 9:30 am, Xi Jinping in full military uniforms went to the Central building of the Committee of Central Military Commission."
样本保存极为完好，从而使得米切尔博士，以及国际科学家团队可以对其身上的鳞片和铠甲的图案和形状进行记录。,The amazing preservation of the specimen made it possible for Dr Mitchell and an international team of scientists to document the pattern and shape of scales and armour across its body.
连日来，县有关部门还为690余名贫困大学生落实283.8万元就学资助。,"For days, relevant departments in the counties have provided 2.838 million RMB of bursaries for over 690 college students from poor families."
独有的冷流呼气阀，可高效排出面罩内部湿热呼气，让用户呼吸更为畅快。,"Its unique cool flow valve can efficiently discharge hot and damp exhaled breath from inside the respirator, allowing easier breathing for users."
共同会见记者，并出席中俄媒体交流年闭幕式。,Met reporters together and attended the closing ceremony of the China-Russia Year of Media Exchange.
谱写无愧于新时代的灿烂篇章,write a brilliant chapter worthy of a new era.
另外，由于昆虫含有异体蛋白，对于有些人容易造成过敏。,"Elsewhere, insects carry foreign protein, and could easily cause allergies in some people."
习近平同志二零一七年十月十八日，在中国共产党第十九次全国代表大会上所做的报告，决胜全面建成小康社会,"Comrade Xi Jinping delivered a report to the 19th National Congress of the Communist Party of China on October 18, 2017, securing a decisive victory in building a moderately prosperous society in all respects."
知道被骗后，向网站申请退款，还好得到全额退款。,"After he realized he was deceived, he applied for a refund from the website. Fortunately, he was able to receive a full refund."
中国共产党作为世界上最大的政党，不断隔间与进步，带领中国取得世界瞩目的发展成就。,"As the largest political party in the world, the Chinese Communist Party has continuously kept up with the pace of progress and led China to gain world-class development achievements."
在周六晚上 7 点的 ESPN 比赛中，洛马琴科战胜了米格尔·马里亚加，保全了他的地位。,Lomachenko defends his belt against Miguel Marriaga on Saturday night at 7 on ESPN.
“事实证明，是哈里森组织并命令执行了这场谋杀，”一份 FBI 报告得出了这样的结论。,"""As it turns out it was Harrison who set up and ordered the murders,"" one FBI report concludes."
设立全球气候变化和绿色发展基金。,The money will be used to establish a global climate change and green development fund.
外交部发言人华春莹29日表示，报道所称情况不符合事实。,"On the 29th, Foreign Ministry Spokesperson Hua Chunying said that the situation stated in the report did not conform to the facts."
从取消一天两次训练到更多地进行一天一次训练，熊队在上个赛季前差不多一个星期展开训练，莫拉在韦斯特伍德的六个赛季中首次于暑期学校进行训练。,"The trade-off from no two-a-days is more one-a-days, the Bruins pushing up the start of camp nearly a week from last season and holding practices during summer school for the first time during Mora's six seasons in Westwood."
但在有些地区,"But in some areas,"
都市情感商业大剧《鸡毛飞上天》正在江苏卫视热播，该剧讲述了三代人既艰辛曲折又充满激情的创业史和情感史故事。,Urban romance-business drama “Feather Flies To The Sky” has been a big hit on Jiangsu Television. The drama tells the story of the arduous and passionate entrepreneurial history and romance of three generations of people.
如果他这样做了，那么一群游船业主和自由主义的追随者一定会将他生吞活剥。,A horde of boat-trip owners and Liberty impersonators would have lynched him if he did.
推动全军各项工作向能打仗、打胜仗聚焦的鲜明态度,and promoted the distinct attitude to focusing all work of the army on the ability to fight and win.
据剧组一名演员透露，张末在现场是个心思细腻的人，从群众演员到服化道，方方面面都要亲自盯到位。,"According to an actor in the cast, Zhang Mo is attentive to detail at the set. He would personally attend to every aspect at the set, from the extras to costume and makeup."
今年他们正努力攻克农村污水的智慧化管理课题,they are trying to tackle the smart management of rural sewage this year.
第一，2 月份出版了达马索·洛佩兹采访，他领导着一个与古兹曼几个儿子对战的卡特尔集团。,"First there was the publication in February of an interview with Damaso Lopez, a leader of one of the rival cartel factions at war with Guzman's sons."
烂番茄上除第一季外，其他六季新鲜度都高达100%。,"Other than Season 1, Rotten Tomatoes had a 100% certified fresh rating for the other six seasons."
“经济不景气——收入下滑——一部分人还不起房贷——银行低价出售欠账人的房子——房价下跌——更多的人停止还房贷——银行又出售——房价又下跌……”,"“Economy downturn – incomes fall – some people can’t repay mortgages – banks sell defaulted houses at low prices – house prices fall – more people stop paying home mortgages – banks sell houses again – prices fall again ..."""
电视剧《甄嬛传》原著作者状告网易云阅读平台，成为其开庭审理第一案。,The original writer of the TV series Empresses in the Palace sued NetEase cloud reading platform which makes it the first case of its kind.
塞万提斯?巴拉甘 (Cervantes-Barragan) 博士解释说，人们和老鼠一样，具有相同的增进耐受力的细胞，我们大多数人在我们的胃肠道中存在着路氏乳杆菌。,"Dr Cervantes-Barragan explained people have the same tolerance-promoting cells as mice, and most of us shelter L. reuteri in our gastrointestinal tracts."
当然上述的概念只是笔者对于国产新型护卫舰的猜想，具体如何我们只能等到新型护卫舰下水的时候才能一探究竟，让我们共同期待吧。,"Of course, these are only the author's conjecture on domestically produced new frigates. Only when the new frigates are launched into the water can we know the truth. Let's anticipate the day."
NASA正在考虑用喷射气体降低碎片的速度，使其脱离轨道，欧洲正在考虑发射一颗携带一张大网的卫星，捕捉碎片，带回地球，日本的想法是用一条电动链捕捉碎片。,NASA is considering firing atmospheric gases to reduce the speed of the debris so that it would de-orbit. Europe is looking at launching a satellite with a large net to capture the debris and it back to earth. Japan’s idea is to use a power chain to capture the debris.
从饱经沧桑的石库门建筑，到嘉兴南湖的一叶红船，中国共产党从这里诞生,"From the stone-gate buildings with great vicissitudes to a red boat on South Lake, Jiaxing, the Communist Party of China was born here"
我告诉大家，这个只要乡村振兴战略一实施，村庄里的新产业新业态新门路会越来越多。,"As soon as the strategy for rejuvenating the country is implemented, there will be more and more new approaches to new industries and these new industries will reach the villages."
协调推进四个全面战略布局，在服务一带一路建设、推动科技创新驱动、助力打赢脱贫攻坚战,"that promoted the four comprehensive strategic layouts, and carried out in-depth investigations and studies on the construction of the Belt and Road Initiative, the promotion of innovation of science and technology, the assistance of winning the fight on poverty alleviation,"
做出了部署,and made the arrangement.
